POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,label
4.850882,1.100924,0.761153,0.815878,0.368324,2.528265,0.715139,0.938579,0.686123,0.251301,1.358283,0.637589,0.828462,0.447223,0.175024,1.682158,0.665244,0.566333,0.459078,0.253878,1.291624,0.880723,2.067449,0.487191,0.119682,2.355993,1.141355,2.172127,0.674374,0.273836,0.823475,0.682395,1.55408,0.437289,0.153768,2.471521,1.692537,2.350538,1.499623,0.565629,concentrate
6.881338,1.038306,0.854726,0.884603,0.358768,2.98546,0.613298,1.151747,0.746487,0.309014,1.564512,0.613569,0.903281,0.396613,0.198377,1.989695,0.599697,0.702422,0.472091,0.301537,1.323493,0.76702,2.139981,0.586504,0.122585,2.481643,1.052422,2.1181,0.601701,0.247546,0.945723,0.524615,1.605512,0.508602,0.158083,2.01008,1.271885,2.34823,1.680407,0.523508,concentrate
8.730928,1.0775,1.12058,0.987306,0.342215,3.3836,0.51649,1.349501,0.766355,0.365523,1.89286,0.606358,1.011232,0.377918,0.214108,2.311033,0.535466,0.826143,0.464986,0.351678,1.509661,0.805283,2.239246,0.691914,0.135093,2.733825,1.124853,2.093896,0.567888,0.216896,1.186154,0.492984,1.673583,0.571268,0.167643,1.614311,0.96459,2.307531,1.830864,0.509932,concentrate
10.053719,1.203751,1.530556,1.120391,0.323323,3.609922,0.429275,1.48334,0.754451,0.411483,2.313571,0.6069,1.123199,0.389106,0.220086,2.55372,0.475534,0.902846,0.438869,0.397042,1.837457,1.007989,2.289222,0.782903,0.154912,3.097834,1.333757,2.066477,0.56857,0.190741,1.507545,0.599409,1.719281,0.615154,0.181117,1.398169,0.818605,2.213691,1.915011,0.526289,concentrate
10.28706,1.36946,1.990389,1.267013,0.308108,3.615731,0.377902,1.535382,0.728862,0.439073,2.730444,0.62012,1.211172,0.422817,0.216357,2.654769,0.441302,0.923705,0.402546,0.42841,2.188322,1.315984,2.212674,0.85333,0.175478,3.470661,1.588747,1.984896,0.591869,0.174195,1.809006,0.814467,1.697498,0.6441,0.194797,1.387366,0.823693,2.052886,1.927935,0.562958,concentrate
9.621905,1.502444,2.363302,1.396904,0.303745,3.396259,0.389017,1.516104,0.702854,0.446134,3.009935,0.651833,1.247233,0.465799,0.205882,2.59284,0.450383,0.899651,0.364491,0.438537,2.453909,1.639584,1.981751,0.907396,0.190901,3.706388,1.774372,1.81081,0.626281,0.167574,2.036819,1.094926,1.583256,0.66911,0.205264,1.555344,0.92836,1.826755,1.886915,0.604456,concentrate
8.041919,1.561138,2.51834,1.479642,0.316085,3.053677,0.521878,1.456291,0.677479,0.436216,3.064579,0.724104,1.213273,0.503486,0.193635,2.421211,0.544411,0.85679,0.329914,0.426094,2.59224,1.897641,1.633321,0.946586,0.198988,3.671458,1.799411,1.541376,0.665724,0.168382,2.201554,1.390373,1.386486,0.696326,0.211671,1.818645,1.069553,1.552932,1.814113,0.636133,concentrate
6.292725,1.576023,2.388501,1.493887,0.346595,2.733298,0.831903,1.384024,0.640552,0.415444,2.905434,0.869449,1.108568,0.520058,0.184243,2.251684,0.769973,0.818515,0.297938,0.396224,2.639739,2.052873,1.239231,0.963062,0.202462,3.322403,1.649374,1.214985,0.703935,0.175931,2.366188,1.653796,1.140242,0.720883,0.21558,2.088058,1.212706,1.249052,1.722064,0.647804,concentrate
4.62457,1.606034,2.008426,1.436555,0.390387,2.573753,1.332155,1.316513,0.581272,0.388676,2.641705,1.118951,0.958689,0.50763,0.180377,2.201714,1.153039,0.794944,0.267499,0.358343,2.707817,2.10046,0.878401,0.943975,0.204999,2.767964,1.389183,0.900891,0.733023,0.191496,2.621089,1.827906,0.887161,0.730257,0.218733,2.305863,1.33799,0.954968,1.613783,0.633645,concentrate
3.439254,1.691966,1.498373,1.325698,0.434515,2.640065,1.961772,1.249891,0.501364,0.357943,2.423168,1.467042,0.794356,0.467702,0.181045,2.342329,1.674083,0.777605,0.239589,0.32179,2.888746,2.075563,0.601479,0.883044,0.20846,2.202159,1.123445,0.654114,0.748154,0.214889,3.003067,1.883858,0.66378,0.713227,0.221083,2.470514,1.430642,0.714154,1.484722,0.594251,concentrate
2.627328,1.829886,0.99962,1.193237,0.461914,2.857298,2.584846,1.173393,0.427242,0.325581,2.317721,1.85844,0.643591,0.413892,0.182881,2.618759,2.255651,0.749903,0.222122,0.293204,3.171476,2.051582,0.415709,0.799473,0.212736,1.791036,0.953893,0.489405,0.757635,0.242621,3.449117,1.849687,0.490768,0.675407,0.221316,2.576816,1.488338,0.542236,1.342229,0.53847,concentrate
2.083441,1.997414,0.628184,1.060713,0.459348,3.097661,3.032183,1.086703,0.389927,0.295257,2.302049,2.202715,0.529444,0.361114,0.182178,2.902483,2.769852,0.704046,0.220153,0.274291,3.447702,2.113852,0.305065,0.744172,0.216967,1.620067,0.956851,0.394151,0.782323,0.266977,3.81429,1.793113,0.372711,0.643365,0.218179,2.684723,1.529199,0.431467,1.212547,0.479124,concentrate
1.781841,2.144405,0.444154,0.938078,0.425975,3.198797,3.179458,1.001812,0.406582,0.269697,2.300725,2.40467,0.474572,0.323765,0.176058,3.052217,3.087557,0.650393,0.23427,0.261842,3.628219,2.340693,0.261684,0.773221,0.220682,1.749878,1.148182,0.35666,0.849833,0.27887,3.986365,1.797456,0.3158,0.650405,0.211081,2.930257,1.574978,0.368145,1.134809,0.426374,concentrate
1.86692,2.233083,0.450199,0.832801,0.3774,3.12028,3.011077,0.953608,0.474589,0.250989,2.250805,2.404517,0.513388,0.313545,0.165254,3.005528,3.131165,0.630201,0.265272,0.253384,3.75727,2.793954,0.285778,0.907188,0.223729,2.288265,1.502701,0.388345,0.978353,0.272779,3.963608,1.932397,0.32655,0.71378,0.200978,3.63811,1.666906,0.34032,1.138978,0.386373,concentrate
2.399408,2.340121,0.620631,0.754061,0.3387,2.879812,2.630255,0.984919,0.572838,0.241501,2.154477,2.226896,0.67927,0.339584,0.15376,2.800082,2.915362,0.69159,0.316931,0.249817,4.002638,3.532523,0.373263,1.111773,0.225368,3.363662,2.041742,0.513671,1.154474,0.249447,3.888501,2.253472,0.399993,0.819777,0.190428,5.117049,1.939959,0.352109,1.227707,0.364109,concentrate
3.282836,2.671134,0.90143,0.710786,0.332591,2.642146,2.236167,1.102401,0.668765,0.243235,2.074461,2.005764,0.957735,0.405513,0.145781,2.559013,2.56729,0.844241,0.389756,0.252773,4.510676,4.550746,0.507395,1.308822,0.224197,4.980654,2.825741,0.737018,1.327442,0.215023,3.929565,2.767821,0.514226,0.926808,0.183294,7.385991,2.589667,0.415726,1.368448,0.364535,concentrate
4.230997,3.385549,1.21452,0.70656,0.366971,2.4681,2.033864,1.271731,0.732575,0.254728,2.048732,1.913367,1.276943,0.502498,0.143191,2.370964,2.272117,1.053975,0.474002,0.260207,5.262205,5.695505,0.654318,1.413692,0.219259,6.984485,3.835418,1.008195,1.432834,0.178368,4.140006,3.394861,0.634165,0.985465,0.182369,10.041559,3.699443,0.526393,1.502721,0.391143,concentrate
5.023736,4.456868,1.502804,0.734218,0.430799,2.344425,2.104765,1.428249,0.749988,0.271896,2.054214,2.039126,1.540108,0.606758,0.144675,2.236308,2.153094,1.254406,0.550458,0.266111,6.072868,6.700833,0.768394,1.37689,0.210692,9.060781,4.936602,1.242183,1.42547,0.147179,4.400107,3.990866,0.723865,0.963325,0.187205,12.376514,5.140414,0.658932,1.572693,0.44028,concentrate
5.24415,5.617126,1.72813,0.770771,0.499131,2.199679,2.373607,1.50273,0.721682,0.289862,2.034141,2.326106,1.662784,0.685525,0.146775,2.095272,2.208377,1.370794,0.595542,0.26389,6.671637,7.266275,0.800231,1.20449,0.199769,10.814346,5.839058,1.366511,1.305435,0.125929,4.546184,4.383785,0.750809,0.85935,0.194838,13.654107,6.557653,0.780947,1.551083,0.499752,concentrate
4.951145,6.493172,1.861426,0.789403,0.547382,1.95925,2.682745,1.459217,0.662268,0.304624,1.946867,2.628489,1.610314,0.710069,0.146251,1.879738,2.358428,1.363183,0.59221,0.249987,6.852275,7.201733,0.736979,0.952221,0.190367,11.881626,6.243709,1.339426,1.112728,0.115852,4.442846,4.467122,0.708737,0.704505,0.202834,13.450012,7.530403,0.853208,1.451685,0.556203,concentrate
4.144051,6.758711,1.881629,0.770086,0.563164,1.617193,2.885572,1.314711,0.592829,0.312974,1.783828,2.788032,1.413462,0.669406,0.141752,1.573767,2.502136,1.248157,0.540843,0.225655,6.534956,6.516033,0.609141,0.695193,0.187167,12.015779,5.978919,1.173331,0.903281,0.116734,4.065398,4.23978,0.61805,0.543166,0.210103,11.87954,7.745392,0.848026,1.310473,0.599959,concentrate
3.144836,6.262601,1.793582,0.707117,0.54894,1.24019,2.91515,1.135669,0.534538,0.311592,1.567611,2.692705,1.153157,0.57517,0.133651,1.225288,2.561926,1.08115,0.458535,0.195663,5.768951,5.355555,0.472191,0.492512,0.19276,11.178035,5.066644,0.932159,0.722596,0.130553,3.462329,3.75708,0.519499,0.411398,0.215594,9.44865,7.094722,0.772974,1.167783,0.624142,concentrate
2.167261,5.116015,1.619716,0.613395,0.519172,0.925329,2.824782,0.988093,0.504215,0.298648,1.329265,2.344964,0.918126,0.455631,0.123979,0.914675,2.547761,0.920721,0.369935,0.166743,4.708651,4.029901,0.387204,0.367753,0.207488,9.539704,3.751428,0.695874,0.590744,0.161534,2.759859,3.179839,0.462056,0.327569,0.219209,6.866095,5.74611,0.671296,1.061155,0.627897,concentrate
1.370969,3.631227,1.384682,0.515127,0.491351,0.743348,2.724975,0.900546,0.50974,0.276496,1.093819,1.840726,0.753601,0.343727,0.115651,0.704724,2.518589,0.796282,0.297478,0.145366,3.578826,2.872789,0.385682,0.312653,0.228646,7.472729,2.385592,0.520815,0.50646,0.211122,2.102841,2.690018,0.474093,0.291508,0.220973,4.726388,4.087817,0.591187,1.015288,0.615706,concentrate
0.788816,2.21864,1.116395,0.442156,0.476687,0.748928,2.702036,0.856863,0.546221,0.254193,0.90211,1.332259,0.653098,0.26271,0.111647,0.65156,2.532229,0.701381,0.251467,0.136378,2.571374,2.095339,0.448984,0.30507,0.252805,5.359138,1.296203,0.424629,0.45906,0.273532,1.592415,2.398858,0.545504,0.293433,0.222485,3.249953,2.565122,0.559442,1.034493,0.597185,concentrate
0.454094,1.180238,0.843211,0.413057,0.475251,0.964911,2.750697,0.816194,0.599682,0.243056,0.808155,0.941702,0.577187,0.219682,0.113471,0.791263,2.583822,0.608824,0.232411,0.141771,1.843999,1.715328,0.530153,0.330669,0.277233,3.578168,0.655215,0.385833,0.439302,0.335539,1.289622,2.298679,0.63659,0.324115,0.226757,2.421049,1.472664,0.570349,1.106392,0.585065,concentrate
0.456641,0.600919,0.597096,0.430058,0.476952,1.366937,2.784475,0.747558,0.650474,0.248809,0.853454,0.704539,0.490474,0.210333,0.120185,1.109555,2.612633,0.500105,0.237356,0.159403,1.426724,1.587346,0.582819,0.380728,0.299297,2.290835,0.400274,0.363565,0.440434,0.381541,1.173763,2.270599,0.698242,0.374975,0.235007,1.949478,0.850872,0.586128,1.203649,0.58782,concentrate
0.627903,0.374851,0.418694,0.482656,0.468828,1.869345,2.702481,0.651126,0.67944,0.267977,1.051362,0.598019,0.392251,0.226271,0.129612,1.551203,2.559457,0.381947,0.262978,0.183384,1.306981,1.541091,0.591202,0.439319,0.315839,1.531478,0.364638,0.337411,0.453813,0.401152,1.216736,2.180409,0.701627,0.430845,0.244733,1.689901,0.582292,0.577788,1.281449,0.6064,concentrate
1.030775,0.359182,0.325721,0.55396,0.443919,2.432269,2.477474,0.560734,0.675776,0.289358,1.368635,0.593442,0.309105,0.260228,0.139235,2.041869,2.420696,0.282202,0.305565,0.205865,1.422564,1.475781,0.56257,0.484328,0.323307,1.22136,0.442495,0.311139,0.46558,0.393699,1.375773,1.963784,0.646604,0.473193,0.251171,1.553904,0.528715,0.533873,1.293503,0.635195,concentrate
1.504983,0.472123,0.305397,0.622472,0.403895,2.92872,2.188916,0.506504,0.641086,0.300157,1.707966,0.700126,0.258756,0.306389,0.146461,2.47014,2.271469,0.216181,0.358312,0.219321,1.62077,1.370434,0.517534,0.497553,0.319643,1.155486,0.620387,0.2934,0.462419,0.366777,1.56786,1.649312,0.555723,0.488469,0.250684,1.519619,0.601633,0.463676,1.216872,0.669232,concentrate
1.837799,0.692725,0.330088,0.665999,0.357345,3.305293,1.992791,0.494634,0.587577,0.29204,1.976085,0.970376,0.24158,0.355511,0.149638,2.742401,2.241426,0.181175,0.409541,0.219056,1.730971,1.240801,0.472106,0.472463,0.305369,1.153148,0.898189,0.284282,0.437065,0.332335,1.709284,1.317727,0.459434,0.473871,0.243089,1.519228,0.74778,0.381485,1.062229,0.707365,concentrate
1.946943,0.989289,0.379734,0.675437,0.314178,3.496247,2.007038,0.503248,0.530787,0.26423,2.099619,1.414047,0.24734,0.397055,0.149195,2.811306,2.408246,0.167215,0.447931,0.205303,1.71988,1.112618,0.43902,0.417897,0.28362,1.142349,1.227425,0.282111,0.394023,0.30226,1.841454,1.049525,0.385498,0.438994,0.231921,1.580274,0.919863,0.312822,0.8755,0.751852,concentrate
1.90638,1.311435,0.438908,0.659649,0.282745,3.509895,2.244416,0.501832,0.48453,0.225804,2.04879,1.969341,0.260536,0.424721,0.147887,2.684816,2.748166,0.160487,0.467018,0.183283,1.678198,1.009908,0.424153,0.351094,0.25854,1.161589,1.5078,0.280578,0.347734,0.284829,2.074245,0.888271,0.347585,0.399129,0.22286,1.758951,1.071461,0.272989,0.716844,0.805216,concentrate
1.660712,1.607463,0.498546,0.639907,0.269409,3.410414,2.625512,0.472329,0.452027,0.190065,1.873021,2.526283,0.271314,0.437228,0.149526,2.450438,3.162867,0.152135,0.466083,0.160761,1.73228,0.940804,0.423286,0.288367,0.233314,1.266177,1.641748,0.273615,0.310292,0.284825,2.505701,0.829042,0.341216,0.365882,0.219893,2.088439,1.165109,0.256895,0.633011,0.865624,concentrate
